alternate,8,64,40000,3632,361,4000,6.51
forward,8,128,40000,141,0,0,6.51
forward,8,128,40000,141,17,4000,6.53
align,8,128,40000,19343,0,0,6.51
align,8,128,40000,19342,1930,4000,6.51
alternate,8,128,40000,128,0,0,6.53
alternate,8,128,40000,3041,305,4000,6.62
forward,8,256,40000,134,0,0,6.59
forward,8,256,40000,125,11,4000,6.54
align,8,256,40000,37513,0,0,6.57
align,8,256,40000,35136,3514,4000,6.54
alternate,8,256,40000,32232,0,0,6.53
alternate,8,256,40000,32368,3239,4000,6.52
forward,8,512,40000,141,0,0,6.54
forward,8,512,40000,139,16,4000,6.56
align,8,512,40000,40000,0,0,6.51
align,8,512,40000,40000,4000,4000,6.52
alternate,8,512,40000,37596,0,0,6.53
alternate,8,512,40000,36076,3607,4000,6.58
forward,8,1024,40000,142,0,0,6.52
forward,8,1024,40000,141,17,4000,6.57
align,8,1024,40000,40000,0,0,6.53
align,8,1024,40000,40000,4000,4000,6.51
alternate,8,1024,40000,40000,0,0,6.52
alternate,8,1024,40000,40000,4000,4000,6.53
forward,8,4,40000,62,1,0,6.55
forward,8,4,40000,139,16,4000,6.55
align,8,4,40000,2222,0,0,6.51
align,8,4,40000,906,90,4000,6.54
alternate,8,4,40000,815,19,0,6.57
alternate,8,4,40000,8,0,4000,6.51
forward,8,8,40000,159,3,0,6.53
forward,8,8,40000,73,8,4000,6.55
align,8,8,40000,1531,0,0,6.51
align,8,8,40000,1538,149,4000,6.52
alternate,8,8,40000,227,0,0,6.58
alternate,8,8,40000,8,0,4000,6.54
forward,8,16,40000,147,0,0,6.51
forward,8,16,40000,140,16,4000,6.52
align,8,16,40000,2450,0,0,6.53
align,8,16,40000,4699,463,4000,6.52
alternate,8,16,40000,35,2,0,6.59
alternate,8,16,40000,16,1,4000,6.51
forward,8,32,40000,143,2,0,6.53
forward,8,32,40000,117,14,4000,6.57
align,8,32,40000,4761,0,0,6.50
align,8,32,40000,8132,807,4000,6.50
alternate,8,32,40000,32,0,0,6.57
alternate,8,32,40000,32,3,4000,6.51
forward,8,64,40000,141,0,0,6.58
forward,8,64,40000,194,22,4000,6.52
align,8,64,40000,9032,0,0,6.51
align,8,64,40000,9560,957,4000,6.52
alternate,8,64,40000,64,0,0,6.51
alternate,8,64,40000,700,69,4000,6.56
forward,8,128,40000,140,0,0,6.52
forward,8,128,40000,141,17,4000,6.55
align,8,128,40000,18075,0,0,6.55
align,8,128,40000,20121,2010,4000,6.57
alternate,8,128,40000,128,0,0,6.51
alternate,8,128,40000,460,45,4000,6.57
forward,8,256,40000,146,0,0,6.51
forward,8,256,40000,142,17,4000,6.50
align,8,256,40000,38014,0,0,6.54
align,8,256,40000,37529,3749,4000,6.50
alternate,8,256,40000,27456,0,0,6.52
alternate,8,256,40000,33143,3317,4000,6.51
forward,8,512,40000,142,0,0,6.51
forward,8,512,40000,142,17,4000,6.51
align,8,512,40000,40000,0,0,6.54
align,8,512,40000,39145,3913,4000,6.60
alternate,8,512,40000,40000,0,0,6.52
alternate,8,512,40000,40000,4000,4000,6.51
forward,8,1024,40000,294,0,0,6.51
forward,8,1024,40000,141,17,4000,6.54
align,8,1024,40000,40000,0,0,6.51
align,8,1024,40000,40000,4000,4000,6.54
alternate,8,1024,40000,40000,0,0,6.53
alternate,8,1024,40000,40000,4000,4000,6.55
forward,8,4,40000,93,0,0,6.55
forward,8,4,40000,144,17,4000,6.55
align,8,4,40000,1039,0,0,6.52
align,8,4,40000,981,92,4000,6.56
alternate,8,4,40000,4,0,0,6.52
alternate,8,4,40000,4,0,4000,6.54
forward,8,8,40000,100,2,0,6.54
forward,8,8,40000,139,17,4000,6.51
align,8,8,40000,1384,0,0,6.52
align,8,8,40000,1725,169,4000,6.53
alternate,8,8,40000,16,0,0,6.53
alternate,8,8,40000,8,0,4000,6.53
forward,8,16,40000,141,2,0,6.59
forward,8,16,40000,56,9,4000,6.59
align,8,16,40000,2672,0,0,6.54
align,8,16,40000,2609,255,4000,6.52
alternate,8,16,40000,224,0,0,6.53
alternate,8,16,40000,16,1,4000,6.62
forward,8,32,40000,141,0,0,6.53
forward,8,32,40000,119,11,4000,6.54
align,8,32,40000,14608,0,0,6.51
align,8,32,40000,8655,858,4000,6.54
alternate,8,32,40000,32,0,0,6.51
alternate,8,32,40000,128,15,4000,6.55
forward,8,64,40000,147,0,0,6.51
forward,8,64,40000,144,18,4000,6.53
align,8,64,40000,10437,0,0,6.51
align,8,64,40000,10265,1019,4000,6.57
alternate,8,64,40000,375,1,0,6.55
alternate,8,64,40000,856,86,4000,6.53
forward,8,128,40000,42,0,0,6.57
forward,8,128,40000,140,16,4000,6.52
align,8,128,40000,19053,0,0,6.59
align,8,128,40000,19726,1966,4000,6.53
alternate,8,128,40000,1479,0,0,6.51
alternate,8,128,40000,128,12,4000,6.57
forward,8,256,40000,153,0,0,6.51
forward,8,256,40000,85,9,4000,6.55
align,8,256,40000,37724,0,0,6.51
align,8,256,40000,37816,3778,4000,6.54
alternate,8,256,40000,23882,0,0,6.54
alternate,8,256,40000,13991,1403,4000,6.61
forward,8,512,40000,141,0,0,6.53
forward,8,512,40000,141,17,4000,6.52
align,8,512,40000,40000,0,0,6.54
align,8,512,40000,40000,4000,4000,6.53
alternate,8,512,40000,38916,0,0,6.62
alternate,8,512,40000,40000,4000,4000,6.54
forward,8,1024,40000,338,0,0,6.52
forward,8,1024,40000,140,16,4000,6.53
align,8,1024,40000,40000,0,0,6.59
align,8,1024,40000,40000,4000,4000,6.52
alternate,8,1024,40000,40000,0,0,6.53
alternate,8,1024,40000,40000,4000,4000,6.56
forward,8,4,40000,119,0,0,6.52
forward,8,4,40000,0,0,4000,6.61
align,8,4,40000,915,0,0,6.54
align,8,4,40000,1400,134,4000,6.52
alternate,8,4,40000,18,2,0,6.53
alternate,8,4,40000,4,0,4000,6.65
forward,8,8,40000,134,0,0,6.52
forward,8,8,40000,140,16,4000,6.54
align,8,8,40000,1446,0,0,6.51
align,8,8,40000,2258,214,4000,6.57
alternate,8,8,40000,17,0,0,6.52
alternate,8,8,40000,63,8,4000,6.54
forward,8,16,40000,138,2,0,6.57
forward,8,16,40000,140,16,4000,6.53
align,8,16,40000,2739,0,0,6.53
align,8,16,40000,2815,280,4000,6.55
alternate,8,16,40000,172,0,0,6.53
alternate,8,16,40000,16,1,4000,6.52
forward,8,32,40000,141,0,0,6.57
forward,8,32,40000,142,18,4000,6.56
align,8,32,40000,4475,0,0,6.60
align,8,32,40000,4771,470,4000,6.50
alternate,8,32,40000,133,0,0,6.56
alternate,8,32,40000,1786,179,4000,6.51
forward,8,64,40000,110,0,0,6.55
forward,8,64,40000,141,17,4000,6.53
align,8,64,40000,9920,0,0,6.57
align,8,64,40000,10164,1006,4000,6.55
alternate,8,64,40000,64,0,0,6.52
alternate,8,64,40000,542,55,4000,6.53
forward,8,128,40000,83,0,0,6.58
forward,8,128,40000,141,17,4000,6.52
align,8,128,40000,16422,0,0,6.57
align,8,128,40000,17620,1758,4000,6.56
alternate,8,128,40000,298,0,0,6.53
alternate,8,128,40000,206,19,4000,6.52
forward,8,256,40000,139,0,0,6.59
forward,8,256,40000,154,18,4000,6.54
align,8,256,40000,34338,0,0,6.52
align,8,256,40000,35118,3507,4000,6.58
alternate,8,256,40000,32059,0,0,6.53
alternate,8,256,40000,19609,1960,4000,6.56
forward,8,512,40000,85,0,0,6.55
forward,8,512,40000,147,17,4000,6.53
align,8,512,40000,40000,0,0,6.54
align,8,512,40000,40000,4000,4000,6.51
alternate,8,512,40000,40000,0,0,6.50
alternate,8,512,40000,36570,3650,4000,6.54
forward,8,1024,40000,138,0,0,6.52
forward,8,1024,40000,141,17,4000,6.56
align,8,1024,40000,40000,0,0,6.52
align,8,1024,40000,40000,4000,4000,6.57
alternate,8,1024,40000,40000,0,0,6.55
alternate,8,1024,40000,40000,4000,4000,6.53
forward,8,4,40000,125,0,0,6.56
forward,8,4,40000,116,10,4000,6.53
align,8,4,40000,1024,0,0,6.56
align,8,4,40000,981,96,4000,6.52
