type,shm_bufsize,arbiter_bufsize,primes_num,checked,errnum,errgen,time
alternate,8,32,40000,32,0,0,6.09
alternate,8,32,40000,387,39,4000,6.08
alternate,8,32,40000,32,0,0,6.01
alternate,8,32,40000,32,3,4000,6.08
alternate,8,4,40000,4,0,0,6.01
alternate,8,4,40000,5,0,4000,6.10
alternate,8,4,40000,4,0,0,6.04
alternate,8,4,40000,4,0,4000,6.03
alternate,8,4,40000,4,0,0,6.08
alternate,8,4,40000,4,0,4000,6.01
alternate,8,4,40000,4,0,0,6.04
alternate,8,4,40000,4,0,4000,6.03
alternate,8,4,40000,9,1,0,6.08
alternate,8,4,40000,4,0,4000,6.03
alternate,8,4,40000,4,0,0,6.08
alternate,8,4,40000,4,0,4000,6.02
alternate,8,4,40000,4,0,0,6.01
alternate,8,4,40000,4,0,4000,6.09
alternate,8,4,40000,299,0,0,6.01
alternate,8,4,40000,8,0,4000,6.00
alternate,8,4,40000,4,0,0,6.12
alternate,8,4,40000,4,0,4000,6.01
alternate,8,4,40000,10,2,0,6.01
alternate,8,4,40000,6,0,4000,6.04
alternate,8,4,40000,4,0,0,6.11
alternate,8,4,40000,10,2,4000,6.10
alternate,8,512,40000,40000,0,0,6.03
alternate,8,512,40000,40000,4000,4000,6.02
alternate,8,512,40000,32795,0,0,6.03
alternate,8,512,40000,40000,4000,4000,6.06
alternate,8,512,40000,32047,0,0,6.05
alternate,8,512,40000,40000,4000,4000,6.07
alternate,8,512,40000,40000,0,0,6.01
alternate,8,512,40000,40000,4000,4000,6.01
alternate,8,512,40000,39453,0,0,6.13
alternate,8,512,40000,38866,3888,4000,6.04
alternate,8,512,40000,40000,0,0,6.01
alternate,8,512,40000,39803,3979,4000,6.11
alternate,8,512,40000,40000,0,0,6.05
alternate,8,512,40000,40000,4000,4000,6.02
alternate,8,512,40000,39481,0,0,6.03
alternate,8,512,40000,39246,3925,4000,6.06
alternate,8,512,40000,40000,0,0,6.02
alternate,8,512,40000,39346,3934,4000,6.11
alternate,8,512,40000,39053,0,0,6.10
alternate,8,512,40000,40000,4000,4000,6.01
alternate,8,512,40000,40000,0,0,6.05
alternate,8,512,40000,40000,4000,4000,6.07
alternate,8,64,40000,970,2,0,6.12
alternate,8,64,40000,3206,320,4000,6.01
alternate,8,64,40000,5930,0,0,6.12
alternate,8,64,40000,297,32,4000,6.09
alternate,8,64,40000,18847,1,0,6.02
alternate,8,64,40000,685,69,4000,6.02
alternate,8,64,40000,64,0,0,6.01
alternate,8,64,40000,190,20,4000,6.10
alternate,8,64,40000,1680,0,0,6.03
alternate,8,64,40000,64,6,4000,6.02
alternate,8,64,40000,64,0,0,6.12
alternate,8,64,40000,64,6,4000,6.02
alternate,8,64,40000,5874,1,0,6.04
alternate,8,64,40000,838,83,4000,6.02
alternate,8,64,40000,1364,0,0,6.03
alternate,8,64,40000,129,13,4000,6.08
alternate,8,64,40000,64,0,0,6.01
alternate,8,64,40000,370,96,4000,6.10
alternate,8,64,40000,142,1,0,6.04
alternate,8,64,40000,343,34,4000,6.02
alternate,8,64,40000,64,0,0,6.11
alternate,8,64,40000,64,6,4000,6.02
alternate,8,8,40000,8,0,0,6.03
alternate,8,8,40000,8,0,4000,6.04
alternate,8,8,40000,8,0,0,6.10
alternate,8,8,40000,255,23,4000,6.01
alternate,8,8,40000,20,10,0,6.03
alternate,8,8,40000,8,0,4000,6.02
alternate,8,8,40000,8,0,0,6.03
alternate,8,8,40000,8,0,4000,6.16
alternate,8,8,40000,21,0,0,6.01
alternate,8,8,40000,8,0,4000,6.03
alternate,8,8,40000,8,0,0,6.00
alternate,8,8,40000,8,0,4000,6.10
alternate,8,8,40000,16,1,0,6.10
alternate,8,8,40000,8,0,4000,6.01
alternate,8,8,40000,8,0,0,6.03
alternate,8,8,40000,8,0,4000,6.03
alternate,8,8,40000,41,2,0,6.14
alternate,8,8,40000,8,0,4000,6.01
alternate,8,8,40000,354,0,0,6.09
alternate,8,8,40000,8,0,4000,6.06
alternate,8,8,40000,8,0,0,6.12
alternate,8,8,40000,15,2,4000,6.01
forward,8,1024,40000,144,0,0,6.02
forward,8,1024,40000,142,17,4000,6.03
forward,8,1024,40000,140,0,0,6.02
forward,8,1024,40000,117,15,4000,6.10
forward,8,1024,40000,136,0,0,6.02
forward,8,1024,40000,140,16,4000,6.04
