benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-maxmem-mon,vamos-eventsnum,vamos-dropped,vamos-holes
mix021_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,19084,0,0.44,0.02,0.46,49552,0,0.0,0.0,0.16,1796,3460,81,0,0
mix021_tso.oepc.i , 0,0.01,0.0,0.51,18920,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1800,3460,73,0,0
mix022_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.i , 0,0.0,0.0,0.52,18780,0,0.45,0.01,0.47,50268,0,0.0,0.0,0.16,1904,3428,36,0,0
mix022_tso.i , 0,0.0,0.0,0.52,18936,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1816,3488,26,0,0
mix023_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19036,0,0.46,0.01,0.47,49804,0,0.0,0.0,0.16,1808,3512,85,0,0
mix023_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,19204,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1808,3464,78,0,0
mix023_tso.i , 0,0.0,0.0,0.52,19168,0,0.45,0.01,0.47,50260,0,0.0,0.0,0.16,1832,3408,103,0,0
mix024_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18884,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1920,3448,66,0,0
mix024_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,19064,0,0.45,0.01,0.47,50228,0,0.0,0.0,0.16,1796,3448,67,0,0
mix025_power.oepc_power.opt_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18924,0,0.44,0.02,0.47,50252,0,0.0,0.0,0.16,1784,3504,59,0,0
mix025_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,19032,0,0.44,0.02,0.46,50516,0,0.0,0.0,0.16,1732,3436,60,0,0
mix026.oepc.i , 0,0.0,0.0,0.52,18872,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1768,3704,82,0,0
mix026_power.opt_tso.opt.i , 0,0.0,0.0,0.52,19008,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1780,3464,83,0,0
mix026_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,19176,0,0.46,0.01,0.47,50528,0,0.0,0.0,0.16,1840,3464,75,0,0
mix027_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19100,0,0.45,0.01,0.46,49552,0,0.0,0.0,0.16,1848,3456,81,0,0
mix027_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,18892,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1928,3464,74,0,0
mix027_tso.i , 0,0.0,0.0,0.52,19060,0,0.44,0.03,0.47,49804,0,0.0,0.0,0.16,1680,3460,81,0,0
mix028_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19004,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1804,3548,58,0,0
mix028_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,18804,0,0.43,0.04,0.47,50528,0,0.0,0.0,0.16,1920,3432,58,0,0
mix028_tso.i , 0,0.0,0.01,0.52,19072,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1796,3544,38,0,0
mix029_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.13,19720,0,0.46,0.0,0.46,49552,0,0.0,0.0,0.16,1764,3640,81,0,0
mix029_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,19040,0,0.46,0.0,0.47,50532,0,0.0,0.0,0.16,1772,3396,73,0,0
mix030_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19036,0,0.45,0.01,0.47,49804,0,0.0,0.0,0.16,1760,3524,80,0,0
mix030_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,18972,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1748,3464,72,0,0
