benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-eventsnum,vamos-dropped,vamos-holes
fib_safe-7.i , 0,0.0,0.01,1.14,22372,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,1840,165,0,0
fib_safe-7.i , 0,0.0,0.0,0.14,22332,0,0.24,0.0,0.25,62120,2,0.0,0.0,0.04,1792,165,0,0
fib_safe-7.i , 0,0.0,0.0,0.14,22632,0,0.24,0.01,0.25,62120,2,0.0,0.0,0.04,1764,165,0,0
fib_safe-7.i , 0,0.0,0.0,0.14,23200,0,0.23,0.01,0.25,62124,2,0.0,0.0,0.04,1656,165,0,0
fib_safe-7.i , 0,0.0,0.01,1.14,22896,0,0.22,0.02,0.25,62116,2,0.0,0.0,0.04,1868,165,0,0
fib_safe-7.i , 0,0.0,0.0,1.14,23028,0,0.24,0.0,0.25,62120,2,0.0,0.0,0.04,1840,165,0,0
fib_safe-7.i , 0,0.0,0.0,0.14,23060,0,0.23,0.01,0.25,62116,2,0.0,0.0,0.04,1812,165,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,22764,2,0.24,0.01,0.25,61684,11,0.0,0.0,0.04,1716,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,23440,2,0.24,0.0,0.25,61684,2,0.0,0.0,0.04,1800,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,23476,2,0.23,0.02,0.25,61688,2,0.0,0.0,0.04,1864,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,24028,2,0.24,0.01,0.25,61684,2,0.0,0.0,0.04,1840,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,22696,2,0.24,0.0,0.25,61684,1,0.0,0.0,0.04,1692,183,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,23348,2,0.23,0.01,0.25,61680,16,0.0,0.0,0.04,1696,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,23220,2,0.22,0.02,0.25,61684,2,0.0,0.0,0.04,1812,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,23312,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1816,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,23516,2,0.23,0.02,0.25,61684,2,0.0,0.0,0.04,1796,225,0,0
fib_unsafe-10-racy.i , 2,0.0,0.0,0.14,23564,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1772,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,0.14,22820,0,0.24,0.0,0.25,62136,2,0.0,0.0,0.04,1960,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,0.14,22900,0,0.24,0.0,0.25,62136,2,0.0,0.0,0.04,1808,225,0,0
fib_unsafe-10.i , 0,0.0,0.01,1.15,22572,0,0.25,0.0,0.25,62136,1,0.0,0.0,0.04,1812,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,1.14,22376,0,0.23,0.01,0.25,62132,2,0.0,0.0,0.04,1844,225,0,0
fib_unsafe-10.i , 0,0.0,0.01,1.14,22604,0,0.24,0.0,0.25,62136,2,0.0,0.0,0.04,1864,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,1.14,23140,0,0.24,0.01,0.25,62140,2,0.0,0.0,0.04,1812,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,1.14,23172,0,0.24,0.0,0.25,62136,11,0.0,0.0,0.04,1672,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,0.14,23168,0,0.22,0.02,0.25,62136,2,0.0,0.0,0.04,1788,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,1.14,23204,0,0.23,0.01,0.25,62132,2,0.0,0.0,0.04,1792,225,0,0
fib_unsafe-10.i , 0,0.0,0.0,0.14,22812,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1840,225,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,23892,2,0.24,0.0,0.25,61684,2,0.0,0.0,0.04,1828,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,22856,2,0.24,0.01,0.25,61680,2,0.0,0.0,0.04,1812,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,24100,2,0.24,0.0,0.25,61684,2,0.0,0.0,0.04,1820,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,23092,2,0.22,0.02,0.25,61684,2,0.0,0.0,0.04,1824,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,23836,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1840,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,23292,2,0.23,0.01,0.25,61680,2,0.0,0.0,0.04,1824,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,23084,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1804,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,24124,2,0.24,0.01,0.25,61684,2,0.0,0.0,0.04,1960,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,23572,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1704,245,0,0
fib_unsafe-11-racy.i , 2,0.0,0.0,0.14,23520,2,0.24,0.01,0.25,61684,2,0.0,0.0,0.04,3976,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,0.14,22864,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1900,245,0,0
fib_unsafe-11.i , 0,0.0,0.01,1.14,23244,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1820,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,1.14,21828,0,0.24,0.01,0.25,62136,2,0.0,0.0,0.04,1836,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,1.14,22496,0,0.23,0.01,0.25,62136,2,0.0,0.0,0.04,1804,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,0.14,22228,0,0.22,0.02,0.25,62136,2,0.0,0.0,0.04,1796,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,1.14,23636,0,0.24,0.0,0.25,62136,12,0.0,0.0,0.04,1780,235,0,0
fib_unsafe-11.i , 0,0.0,0.01,1.14,23380,0,0.23,0.02,0.25,62136,2,0.0,0.0,0.04,1804,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,0.14,22940,0,0.24,0.0,0.25,62136,1,0.0,0.0,0.04,1812,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,1.14,22936,0,0.23,0.01,0.25,62140,2,0.0,0.0,0.04,1864,245,0,0
fib_unsafe-11.i , 0,0.0,0.0,1.15,22912,0,0.22,0.02,0.25,62132,2,0.0,0.0,0.04,1820,245,0,0
fib_unsafe-12-racy.i , 2,0.0,0.01,0.14,24428,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1848,265,0,0
fib_unsafe-12-racy.i , 2,0.0,0.0,0.14,23664,2,0.22,0.02,0.25,61680,2,0.0,0.0,0.04,1764,265,0,0
fib_unsafe-12-racy.i , 2,0.0,0.01,0.14,29824,2,0.24,0.01,0.25,61684,2,0.0,0.0,0.04,1796,265,0,0
fib_unsafe-12-racy.i , 2,0.0,0.0,0.14,23840,2,0.24,0.01,0.25,61684,1,0.0,0.0,0.04,1832,215,0,0
fib_unsafe-12-racy.i , 2,0.0,0.0,0.14,25352,2,0.23,0.02,0.25,61680,2,0.0,0.0,0.04,1844,265,0,0
fib_unsafe-12-racy.i , 2,0.0,0.0,0.14,23844,2,0.23,0.01,0.25,61684,2,0.0,0.0,0.04,1788,265,0,0
